label,feat0,feat1,feat2,feat3,feat4,feat5,feat6,feat7,feat8,feat9,feat10,feat11,feat12,feat13,feat14,feat15,feat16,feat17,feat18,feat19,feat20,feat21,feat22,feat23
2,-23294,-15582,-20728,-17815,-16418,-20462,-15885,-10834,-4268,4437,-6496,-4284,-10838,-7586,0,0,0,0,0,0,0,0,0,0
2,-5044,-17815,-27803,-22051,-19384,-15918,-24466,-4366,-5788,-16078,-9764,-13745,-987,-19022,0,0,0,0,0,0,0,0,0,0
2,-31390,-22644,-11231,-15365,-19841,-19626,-18331,-31958,-17713,-14420,-8912,-8176,-12263,-8028,0,0,0,0,0,0,0,0,0,0
2,-1181,-25255,-24288,-9101,-12001,-20135,-19138,-10440,-15059,-13392,2234,927,-10305,-11193,0,0,0,0,0,0,0,0,0,0
2,-22318,-20872,-26528,-20326,-21328,-16861,-16140,-5720,-10716,-25993,-14486,-11447,-7328,-10538,0,0,0,0,0,0,0,0,0,0
2,-23643,-8933,-15148,-9204,-24871,-19971,-20843,-5651,2153,-13273,-1419,-18994,-8406,-11074,0,0,0,0,0,0,0,0,0,0
2,-10396,-14690,-20290,-17277,-17352,-25633,-17345,17106,-28221,-28400,-15305,-11293,-19018,-7632,0,0,0,0,0,0,0,0,0,0
2,-14376,-21820,-10363,-19030,-21870,-24218,-24861,4189,-20452,7027,-12774,-19105,-20016,-14610,0,0,0,0,0,0,0,0,0,0
2,-18644,-15152,-8255,-12288,-22190,-23890,-19449,-15495,8098,3552,-2333,-13938,-16671,-9090,0,0,0,0,0,0,0,0,0,0
2,-17300,-12362,-468,-12845,-20662,-19041,-19243,-17136,-15021,-2109,-6931,-11905,-12397,-7992,0,0,0,0,0,0,0,0,0,0
2,-13932,-13749,-20378,-15244,-17243,-17630,-13698,3222,-4589,-17006,-4898,-6505,-8424,-7157,0,0,0,0,0,0,0,0,0,0
2,-17633,-8659,-10410,-16941,-20103,-17012,-21843,-2299,-11799,11388,-6601,-9756,-4513,-11649,0,0,0,0,0,0,0,0,0,0
2,-10619,7208,-27155,-20461,-14530,-25750,-21044,-12132,5310,-23984,-12344,-731,-23628,-9836,0,0,0,0,0,0,0,0,0,0
2,-2992,-11391,-10401,-12979,-12122,-18507,-21373,11405,-6451,-8926,87,-9440,-7272,-9708,0,0,0,0,0,0,0,0,0,0
2,-25160,-11003,-9266,-6533,-22875,-12123,-20705,-517,-24,-463,6883,-11885,-1907,-17671,0,0,0,0,0,0,0,0,0,0
2,-14338,-7029,-4836,-10033,-14375,-20017,-19771,-2029,7873,603,-15603,-462,-7214,-10862,0,0,0,0,0,0,0,0,0,0
3,-24970,-10731,-18914,-26492,-20741,-18642,-19244,-18551,-4284,-9747,-16347,-12890,-6470,-4950,0,0,0,0,0,0,0,0,0,0
3,-21974,9536,-10842,-16990,-9149,-30675,-20548,-19613,27255,5740,-15092,1799,-25093,-9431,0,0,0,0,0,0,0,0,0,0
3,-44181,-33411,-17911,-25541,-19911,-17868,-17480,-36684,-22809,-13582,-19570,-6603,-11117,-6262,0,0,0,0,0,0,0,0,0,0
3,-29446,-19223,-12713,-16485,-32280,-15366,-17585,-7372,-15507,-22091,-18068,-28109,-2649,-5660,0,0,0,0,0,0,0,0,0,0
3,-8530,-8383,-22599,-20399,-16657,-21386,-20800,4006,2137,-16904,-11605,-5899,-11795,-10699,0,0,0,0,0,0,0,0,0,0
3,-3319,-4751,-28759,-20026,-17595,-19846,-19850,-9199,-5388,-30717,-12153,-15387,-13068,-9199,0,0,0,0,0,0,0,0,0,0
3,-7157,-18568,-25513,-24196,-20183,-17205,-23143,1335,-4308,-10916,-13044,-9912,-6315,-14202,0,0,0,0,0,0,0,0,0,0
3,-10910,-33345,-1849,-18558,-15203,-22913,-16447,1444,-33019,-41,-11,-5996,-17732,-5003,0,0,0,0,0,0,0,0,0,0
3,-7031,-21780,-23813,-10951,-21892,-12047,-17625,-10205,-12310,-12827,-5291,-15291,-4135,-4299,0,0,0,0,0,0,0,0,0,0
3,-18139,-7328,-21446,-21877,-16826,-23166,-16481,-19414,5453,-14979,-10597,-3890,-12447,-7513,0,0,0,0,0,0,0,0,0,0
3,-4778,-18233,-13922,-12649,-32257,-17941,-11643,-10867,-1086,-6643,-4438,-30839,-14825,-6434,0,0,0,0,0,0,0,0,0,0
3,-21211,-32087,-5926,-15364,-16616,-21813,-14274,-6486,-33089,-8700,-2927,-3592,-11726,-1151,0,0,0,0,0,0,0,0,0,0
3,-21463,-15087,-6897,-12256,-18863,-27801,-15849,-2539,-15089,-2397,5734,-8300,-20869,-5381,0,0,0,0,0,0,0,0,0,0
3,-16382,-11053,-15050,-9187,-11506,-13364,-14633,7656,-4781,-6474,2868,-5579,-533,-915,0,0,0,0,0,0,0,0,0,0
3,1472,-22016,-23785,-13061,-19565,-17214,-21310,8341,-18162,-15898,-7371,-11595,-9559,-9471,0,0,0,0,0,0,0,0,0,0
3,-10801,-8306,-11273,-14938,-16861,-20477,-20099,3052,16590,6397,-8053,-11415,-8308,-4020,0,0,0,0,0,0,0,0,0,0
2,-325,-5212,-6711,-11303,-19401,-22702,-21638,-2405,-10596,1098,-1350,-8641,-17186,-11899,0,0,0,0,0,0,0,0,0,0
